function,path,wrapper,declared_tier,has_resource_scope_check,has_permission_leaf_check,uses_service_client_directly,gaps
accept-org-invite,supabase/functions/accept-org-invite/index.ts,serveAuthenticated,"org (authenticated user)",no,no,no,""
accept-parking-invite,supabase/functions/accept-parking-invite/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
accept-property-invite,supabase/functions/accept-property-invite/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
activity-log-export,supabase/functions/activity-log-export/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
activity-log-retention-cron,supabase/functions/activity-log-retention-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,yes,""
ai-platform-credit-wallet,supabase/functions/ai-platform-credit-wallet/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
ai-platform-generation-overrides,supabase/functions/ai-platform-generation-overrides/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
ai-platform-global-settings,supabase/functions/ai-platform-global-settings/index.ts,serveSuperAdmin,"super-admin",yes,no,no,""
ai-platform-property-settings,supabase/functions/ai-platform-property-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
ai-platform-settings,supabase/functions/ai-platform-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
ai-platform-usage,supabase/functions/ai-platform-usage/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
analytics-ai-review,supabase/functions/analytics-ai-review/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
analytics-ai-review-cron,supabase/functions/analytics-ai-review-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,yes,""
analytics-org-summary,supabase/functions/analytics-org-summary/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
analytics-summary,supabase/functions/analytics-summary/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
app-settings,supabase/functions/app-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,yes,""
apply-org-plan-downgrade,supabase/functions/apply-org-plan-downgrade/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
approval-email-webhook,supabase/functions/approval-email-webhook/index.ts,servePublic,"guest-anon",yes,no,no,""
approve-listing-authorization,supabase/functions/approve-listing-authorization/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
